Card Quantity,Card Name,Profile Name,Deck Name,Location
0,3,"Teferi, Time Raveler",Vinniefino,Jeskai Blink,rc_houston_10_18_2025
1,4,"Phlage, Titan of Fire's Fury",Vinniefino,Jeskai Blink,rc_houston_10_18_2025
2,4,Quantum Riddler,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
3,4,"Ragavan, Nimble Pilferer",Vinniefino,Jeskai Blink,rc_houston_10_18_2025
4,4,Solitude,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
5,3,"Phelia, Exuberant Shepherd",Vinniefino,Jeskai Blink,rc_houston_10_18_2025
6,3,Prismatic Ending,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
7,1,Wrath of the Skies,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
8,4,Consign to Memory,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
9,2,Ephemerate,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
10,1,Lightning Bolt,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
11,1,March of Otherworldly Light,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
12,2,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
13,4,Arid Mesa,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
14,4,Flooded Strand,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
15,3,Scalding Tarn,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
16,2,Arena of Glory,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
17,2,Plains,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
18,2,Sacred Foundry,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
19,1,Elegant Parlor,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
20,1,Hallowed Fountain,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
21,1,Island,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
22,1,Meticulous Archive,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
23,1,Mountain,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
24,1,Steam Vents,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
25,1,Thundering Falls,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
26,4,Obsidian Charmaw,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
27,3,Mystical Dispute,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
28,2,Subtlety,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
29,2,Wrath of the Skies,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
30,1,Celestial Purge,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
31,1,Force of Negation,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
32,1,Ghost Vacuum,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
33,1,Surgical Extraction,Vinniefino,Jeskai Blink,rc_houston_10_18_2025
0,4,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Skeptic,Boros Energy,rc_houston_10_18_2025
1,4,Guide of Souls,Skeptic,Boros Energy,rc_houston_10_18_2025
2,4,Ocelot Pride,Skeptic,Boros Energy,rc_houston_10_18_2025
3,4,"Phlage, Titan of Fire's Fury",Skeptic,Boros Energy,rc_houston_10_18_2025
4,4,"Ragavan, Nimble Pilferer",Skeptic,Boros Energy,rc_houston_10_18_2025
5,4,Seasoned Pyromancer,Skeptic,Boros Energy,rc_houston_10_18_2025
6,2,Voice of Victory,Skeptic,Boros Energy,rc_houston_10_18_2025
7,4,Galvanic Discharge,Skeptic,Boros Energy,rc_houston_10_18_2025
8,2,Thraben Charm,Skeptic,Boros Energy,rc_houston_10_18_2025
9,3,Goblin Bombardment,Skeptic,Boros Energy,rc_houston_10_18_2025
10,2,Blood Moon,Skeptic,Boros Energy,rc_houston_10_18_2025
11,1,Static Prison,Skeptic,Boros Energy,rc_houston_10_18_2025
12,3,Arena of Glory,Skeptic,Boros Energy,rc_houston_10_18_2025
13,3,Arid Mesa,Skeptic,Boros Energy,rc_houston_10_18_2025
14,3,Flooded Strand,Skeptic,Boros Energy,rc_houston_10_18_2025
15,3,Marsh Flats,Skeptic,Boros Energy,rc_houston_10_18_2025
16,3,Sacred Foundry,Skeptic,Boros Energy,rc_houston_10_18_2025
17,3,Windswept Heath,Skeptic,Boros Energy,rc_houston_10_18_2025
18,2,Elegant Parlor,Skeptic,Boros Energy,rc_houston_10_18_2025
19,2,Plains,Skeptic,Boros Energy,rc_houston_10_18_2025
20,3,Obsidian Charmaw,Skeptic,Boros Energy,rc_houston_10_18_2025
