Round,Result,Player Profile,Opponent Profile,Record,Location
0,9,Draw,Fat_Chocobo,JohnJonis,0-0-3,rc_sao_paulo_11_01_2025
1,2,Draw,LuisVenegas,Baurong,1-1-0,rc_sao_paulo_11_01_2025
2,4,Draw,LuisVenegas,royce,1-1-0,rc_sao_paulo_11_01_2025
3,7,Draw,Nbdf,GabrielF,1-1-1,rc_sao_paulo_11_01_2025
4,8,Draw,TabularTony,Frota1982,1-1-1,rc_sao_paulo_11_01_2025
5,9,Draw,Choco,nv_goblin,0-0-3,rc_sao_paulo_11_01_2025
6,4,Draw,joaoclaudioms,elpeludo,1-1-0,rc_sao_paulo_11_01_2025
7,6,Draw,Frota1982,perez,1-1-0,rc_sao_paulo_11_01_2025
8,7,Draw,Frota1982,VictorEsquici,1-1-0,rc_sao_paulo_11_01_2025
9,8,Draw,FehRoss,IFLacerda,1-1-0,rc_sao_paulo_11_01_2025
10,6,Draw,Renatoaraujo,brunoapolonio,1-1-0,rc_sao_paulo_11_01_2025
11,1,Draw,Summerbabe,HigorMenezes,1-1-0,rc_sao_paulo_11_01_2025
12,2,Draw,perez,JuanVzlaHD,1-1-0,rc_sao_paulo_11_01_2025
13,4,Draw,IvanQ,adrienhv,1-1-0,rc_sao_paulo_11_01_2025
14,7,Draw,IvanQ,claudio0907,1-1-0,rc_sao_paulo_11_01_2025
15,1,Draw,gabriell86,Rulior,1-1-0,rc_sao_paulo_11_01_2025
16,4,Draw,gabriell86,DiegoPeliser,1-1-0,rc_sao_paulo_11_01_2025
17,3,Draw,Rulior,NeftaliF,1-1-0,rc_sao_paulo_11_01_2025
18,4,Draw,AxelRodriguez,dehloco,1-1-0,rc_sao_paulo_11_01_2025
19,1,Draw,mortadela,NeftaliF,1-1-0,rc_sao_paulo_11_01_2025
20,4,Draw,csalles,Cris,1-1-0,rc_sao_paulo_11_01_2025
21,5,Draw,Fernando89,GPicolo,1-1-0,rc_sao_paulo_11_01_2025
22,1,Draw,Lucasoli89,Helderfc,1-1-1,rc_sao_paulo_11_01_2025
23,4,Draw,claudio0907,TheMarcosV,1-1-0,rc_sao_paulo_11_01_2025
24,1,Draw,InsideGames,caiogiovanni,1-1-0,rc_sao_paulo_11_01_2025
25,4,Draw,frodo_jln,Ferio0192,1-1-0,rc_sao_paulo_11_01_2025
26,3,Draw,RenzoArana,Safatle,1-1-1,rc_sao_paulo_11_01_2025
27,2,Draw,MarceloRCavalcante,Rafael_Martins,1-1-0,rc_sao_paulo_11_01_2025
28,9,Draw,Cba,GustavoBR91,1-1-0,rc_sao_paulo_11_01_2025
29,7,Draw,Paing,Eitaleo,1-1-0,rc_sao_paulo_11_01_2025
30,7,Draw,NeftaliF,FredE,1-1-1,rc_sao_paulo_11_01_2025
