Card Quantity,Card Name,Profile Name,Deck Name,Location
0,2,"Teferi, Time Raveler",Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
1,4,"Phelia, Exuberant Shepherd",Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
2,4,"Phlage, Titan of Fire's Fury",Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
3,4,Quantum Riddler,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
4,4,"Ragavan, Nimble Pilferer",Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
5,4,Solitude,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
6,2,Prismatic Ending,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
7,1,Wrath of the Skies,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
8,4,Consign to Memory,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
9,2,Ephemerate,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
10,1,Lightning Bolt,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
11,1,March of Otherworldly Light,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
12,3,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
13,4,Arid Mesa,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
14,4,Flooded Strand,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
15,3,Scalding Tarn,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
16,2,Arena of Glory,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
17,2,Plains,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
18,2,Sacred Foundry,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
19,1,Elegant Parlor,Fat_Chocobo,Jeskai Midrange,rc_sao_paulo_11_01_2025
