Round,Result,Player Profile,Opponent Profile,Record,Location
0,6,Draw,MullMoney,Vinny2582,0-0-3,rcq_baltimore_10_26_2025
1,6,Draw,MangaEater,TerS1,0-0-3,rcq_baltimore_10_26_2025
2,5,Draw,JammerSoul,Kulozo,1-1-0,rcq_baltimore_10_26_2025
3,2,Draw,bel9ev,Parrotlet,1-1-0,rcq_baltimore_10_26_2025
4,1,Draw,carter01,bigstanno,1-1-0,rcq_baltimore_10_26_2025
5,3,Draw,GoldenCapitalist,keska,0-0-3,rcq_baltimore_10_26_2025
0,1,MullMoney,MullMoney,mylast,2-1-0,rcq_baltimore_10_26_2025
1,2,MullMoney,MullMoney,iTeakTV,2-0-0,rcq_baltimore_10_26_2025
2,3,MullMoney,MullMoney,Vektor27,2-0-0,rcq_baltimore_10_26_2025
3,4,MullMoney,MullMoney,RobFromNewYork,2-1-0,rcq_baltimore_10_26_2025
4,5,MullMoney,MullMoney,Nazareous,2-0-0,rcq_baltimore_10_26_2025
6,1,MangaEater,MangaEater,Jorbity,2-1-0,rcq_baltimore_10_26_2025
7,2,MangaEater,MangaEater,houseofmana,2-1-0,rcq_baltimore_10_26_2025
8,3,MangaEater,MangaEater,Vinny2582,2-0-0,rcq_baltimore_10_26_2025
9,4,MangaEater,MangaEater,EmileD,2-0-0,rcq_baltimore_10_26_2025
10,5,MangaEater,MangaEater,JohnAustenFischer,2-1-0,rcq_baltimore_10_26_2025
12,1,TerS1,TerS1,Reed_,2-1-0,rcq_baltimore_10_26_2025
13,2,TerS1,TerS1,Dunnzo,2-0-0,rcq_baltimore_10_26_2025
14,3,TerS1,TerS1,Spaceboss,2-0-0,rcq_baltimore_10_26_2025
15,4,TerS1,TerS1,kingting,2-1-0,rcq_baltimore_10_26_2025
16,5,TerS1,TerS1,carter01,2-1-0,rcq_baltimore_10_26_2025
18,1,kingting,kingting,GoldenCapitalist,2-0-0,rcq_baltimore_10_26_2025
19,2,kingting,kingting,Polukranos,2-1-0,rcq_baltimore_10_26_2025
