Round,Result,Player Profile,Opponent Profile,Record,Location
0,6,Draw,jorgetaylor,Phreak,0-0-3,rcq_orlando_08_31_2025
1,2,Draw,Polukranos,jacob_osborne,1-1-0,rcq_orlando_08_31_2025
2,1,Draw,CaptainWasabi,imattfox,1-1-0,rcq_orlando_08_31_2025
3,2,Draw,Ndv11,AneudyMedina,1-1-0,rcq_orlando_08_31_2025
4,1,Draw,Evilboone,Jberas88,1-1-0,rcq_orlando_08_31_2025
5,5,Draw,Irishpotato__,walrus,0-0-1,rcq_orlando_08_31_2025
6,5,Draw,DJK3V1N,attackonquinn,0-0-1,rcq_orlando_08_31_2025
7,4,Draw,melloronnie,DrMurray,0-0-1,rcq_orlando_08_31_2025
0,1,jorgetaylor,jorgetaylor,Admonition,2-0-0,rcq_orlando_08_31_2025
1,2,jorgetaylor,jorgetaylor,Un0s1,2-1-0,rcq_orlando_08_31_2025
2,3,jorgetaylor,jorgetaylor,tadam,2-0-0,rcq_orlando_08_31_2025
3,4,jorgetaylor,jorgetaylor,BotteL,2-1-0,rcq_orlando_08_31_2025
4,5,jorgetaylor,jorgetaylor,D333MAN,2-0-0,rcq_orlando_08_31_2025
6,1,Phreak,Phreak,mariomann,2-0-0,rcq_orlando_08_31_2025
7,2,Phreak,Phreak,LouiOriqui,2-0-0,rcq_orlando_08_31_2025
8,3,Phreak,Phreak,ArmyGuyMac,2-0-0,rcq_orlando_08_31_2025
9,4,Phreak,Phreak,Bolt1983,2-0-0,rcq_orlando_08_31_2025
10,5,Phreak,Phreak,TheHONSEMan,2-0-0,rcq_orlando_08_31_2025
12,1,D333MAN,D333MAN,Montrobolon,2-1-0,rcq_orlando_08_31_2025
13,2,D333MAN,D333MAN,DylanK1,2-1-0,rcq_orlando_08_31_2025
14,3,D333MAN,D333MAN,Rulerofsome,2-1-0,rcq_orlando_08_31_2025
15,4,D333MAN,D333MAN,kaynandez77,2-1-0,rcq_orlando_08_31_2025
17,6,D333MAN,D333MAN,Dah11ia,2-0-0,rcq_orlando_08_31_2025
18,1,BotteL,BotteL,XManowarX,2-0-0,rcq_orlando_08_31_2025
19,2,BotteL,BotteL,bgcusick,2-1-0,rcq_orlando_08_31_2025
20,3,BotteL,BotteL,Distanthamster,2-0-0,rcq_orlando_08_31_2025
22,5,BotteL,BotteL,nj741,2-1-0,rcq_orlando_08_31_2025
23,6,BotteL,BotteL,jacob_osborne,2-1-0,rcq_orlando_08_31_2025
24,1,DroopyStorm,DroopyStorm,Koelten,2-1-0,rcq_orlando_08_31_2025
25,2,DroopyStorm,DroopyStorm,VaineAlt,2-1-0,rcq_orlando_08_31_2025
26,3,DroopyStorm,DroopyStorm,Jkutici,2-1-0,rcq_orlando_08_31_2025
28,5,DroopyStorm,DroopyStorm,kaynandez77,2-1-0,rcq_orlando_08_31_2025
29,6,DroopyStorm,DroopyStorm,Evilboone,2-0-0,rcq_orlando_08_31_2025
30,1,Jkutici,Jkutici,Rsanford,2-0-0,rcq_orlando_08_31_2025
31,2,Jkutici,Jkutici,julicj05,2-0-0,rcq_orlando_08_31_2025
33,4,Jkutici,Jkutici,Mikey01,2-1-0,rcq_orlando_08_31_2025
34,5,Jkutici,Jkutici,RHNog,2-1-0,rcq_orlando_08_31_2025
35,6,Jkutici,Jkutici,Spitfire7897,2-1-0,rcq_orlando_08_31_2025
36,1,TheHONSEMan,TheHONSEMan,UglyIdiot,2-0-0,rcq_orlando_08_31_2025
37,2,TheHONSEMan,TheHONSEMan,ilawful,2-0-0,rcq_orlando_08_31_2025
38,3,TheHONSEMan,TheHONSEMan,TayR9,2-1-0,rcq_orlando_08_31_2025
39,4,TheHONSEMan,TheHONSEMan,nj741,2-0-0,rcq_orlando_08_31_2025
41,6,TheHONSEMan,TheHONSEMan,tadam,2-0-0,rcq_orlando_08_31_2025
43,2,Pugface,Pugface,XManowarX,2-1-0,rcq_orlando_08_31_2025
44,3,Pugface,Pugface,Lelouchiscool,2-1-0,rcq_orlando_08_31_2025
45,4,Pugface,Pugface,DJK3V1N,2-0-0,rcq_orlando_08_31_2025
46,5,Pugface,Pugface,NSingman,2-1-0,rcq_orlando_08_31_2025
47,6,Pugface,Pugface,Polukranos,2-0-0,rcq_orlando_08_31_2025
48,1,TariqPatel91,TariqPatel91,AceofSpades03,2-1-0,rcq_orlando_08_31_2025
50,3,TariqPatel91,TariqPatel91,DerG1,2-1-0,rcq_orlando_08_31_2025
51,4,TariqPatel91,TariqPatel91,LeightonLee288,2-0-0,rcq_orlando_08_31_2025
52,5,TariqPatel91,TariqPatel91,Rsanford,2-0-0,rcq_orlando_08_31_2025
53,6,TariqPatel91,TariqPatel91,Rulerofsome,2-1-0,rcq_orlando_08_31_2025
55,2,deanthonymdavis,deanthonymdavis,Admonition,2-0-0,rcq_orlando_08_31_2025
